Estado,vacunados,descarga
Aguascalientes,135446,26-May-2021 (21:59:31)
BajaCalifornia,236531,26-May-2021 (21:59:31)
BajaCaliforniaSur,84606,26-May-2021 (21:59:31)
Campeche,163147,26-May-2021 (21:59:31)
Chiapas,221403,26-May-2021 (21:59:31)
Chihuahua,290929,26-May-2021 (21:59:31)
CDMX,1870855,26-May-2021 (21:59:31)
Coahuila,321216,26-May-2021 (21:59:31)
Colima,81319,26-May-2021 (21:59:31)
Durango,164374,26-May-2021 (21:59:31)
EstadodeMéxico,1832243,26-May-2021 (21:59:31)
Guanajuato,559477,26-May-2021 (21:59:31)
Guerrero,227832,26-May-2021 (21:59:31)
Hidalgo,351953,26-May-2021 (21:59:31)
Jalisco,779491,26-May-2021 (21:59:31)
Michoacán,390117,26-May-2021 (21:59:31)
Morelos,228990,26-May-2021 (21:59:31)
Nayarit,124018,26-May-2021 (21:59:31)
NuevoLeón,412740,26-May-2021 (21:59:31)
Oaxaca,265270,26-May-2021 (21:59:31)
Puebla,355973,26-May-2021 (21:59:31)
Querétaro,191274,26-May-2021 (21:59:31)
QuintanaRoo,125066,26-May-2021 (21:59:31)
SanLuisPotosí,199505,26-May-2021 (21:59:31)
Sinaloa,340301,26-May-2021 (21:59:31)
Sonora,332421,26-May-2021 (21:59:31)
Tabasco,169433,26-May-2021 (21:59:31)
Tamaulipas,257685,26-May-2021 (21:59:31)
Tlaxcala,138201,26-May-2021 (21:59:31)
Veracruz,674202,26-May-2021 (21:59:31)
Yucatán,196926,26-May-2021 (21:59:31)
Zacatecas,130755,26-May-2021 (21:59:31)
