Estado,dosis,descarga,Poblacion_INEGI,dosis_per_capita,Dia
Aguascalientes,363066.0,2021-05-26 22:36:43,1424099,0.25494435428997564,2021-05-26
Baja California,716252.0,2021-05-26 22:36:43,3760801,0.19045198084131545,2021-05-26
Baja California Sur,185781.0,2021-05-26 22:36:43,794605,0.2338029587027517,2021-05-26
CDMX,3933492.0,2021-05-26 22:36:43,9200318,0.42753870029275076,2021-05-26
Campeche,244678.0,2021-05-26 22:36:43,924069,0.26478325752730586,2021-05-26
Chiapas,619078.0,2021-05-26 22:36:43,5515984,0.112233465506789,2021-05-26
Chihuahua,826755.0,2021-05-26 22:36:43,3734230,0.2213990568336712,2021-05-26
Coahuila,809623.0,2021-05-26 22:36:43,3140612,0.2577914750373494,2021-05-26
Colima,179395.0,2021-05-26 22:36:43,729435,0.24593692378347626,2021-05-26
Durango,432283.0,2021-05-26 22:36:43,1829475,0.2362880061219749,2021-05-26
Estado de México,3320002.0,2021-05-26 22:36:43,16984191,0.19547601649086493,2021-05-26
Guanajuato,1269086.0,2021-05-26 22:36:43,6154885,0.20619166726916913,2021-05-26
Guerrero,713507.0,2021-05-26 22:36:43,3526268,0.20234054813757774,2021-05-26
Hidalgo,708538.0,2021-05-26 22:36:43,3079635,0.23007207022910184,2021-05-26
Jalisco,1506615.0,2021-05-26 22:36:43,8297100,0.18158332429403046,2021-05-26
Michoacán,959493.0,2021-05-26 22:36:43,4745316,0.20219791474371782,2021-05-26
Morelos,502708.0,2021-05-26 22:36:43,1970572,0.25510765402126895,2021-05-26
Nayarit,307872.0,2021-05-26 22:36:43,1234288,0.2494328714206085,2021-05-26
Nuevo León,1352316.0,2021-05-26 22:36:43,5766310,0.2345201697446027,2021-05-26
Oaxaca,801822.0,2021-05-26 22:36:43,4122760,0.1944867030824011,2021-05-26
Puebla,947155.0,2021-05-26 22:36:43,6577607,0.14399689735187887,2021-05-26
Querétaro,,2021-05-26 22:36:43,2361643,,2021-05-26
Quintana Roo,298003.0,2021-05-26 22:36:43,1836963,0.16222591309677986,2021-05-26
San Luis Potosí,721333.0,2021-05-26 22:36:43,2820313,0.2557634560419358,2021-05-26
Sinaloa,817191.0,2021-05-26 22:36:43,3024718,0.2701709713103833,2021-05-26
Sonora,605377.0,2021-05-26 22:36:43,2942115,0.20576252117949162,2021-05-26
Tabasco,507452.0,2021-05-26 22:36:43,2401722,0.21128673510089843,2021-05-26
Tamaulipas,837718.0,2021-05-26 22:36:43,3522081,0.2378474543884709,2021-05-26
Tlaxcala,279501.0,2021-05-26 22:36:43,1322052,0.21141452832415064,2021-05-26
Veracruz,1526411.0,2021-05-26 22:36:43,8059109,0.18940195498038306,2021-05-26
Yucatán,595988.0,2021-05-26 22:36:43,2317082,0.2572148935600898,2021-05-26
Zacatecas,408078.0,2021-05-26 22:36:43,1620280,0.251856469252228,2021-05-26
Aguascalientes,363066.0,2021-05-27 21:51:24,1424099,0.25494435428997564,2021-05-27
Baja California,716252.0,2021-05-27 21:51:24,3760801,0.19045198084131545,2021-05-27
Baja California Sur,185781.0,2021-05-27 21:51:24,794605,0.2338029587027517,2021-05-27
CDMX,3933492.0,2021-05-27 21:51:24,9200318,0.42753870029275076,2021-05-27
Campeche,244678.0,2021-05-27 21:51:24,924069,0.26478325752730586,2021-05-27
Chiapas,619078.0,2021-05-27 21:51:24,5515984,0.112233465506789,2021-05-27
Chihuahua,826755.0,2021-05-27 21:51:24,3734230,0.2213990568336712,2021-05-27
Coahuila,809623.0,2021-05-27 21:51:24,3140612,0.2577914750373494,2021-05-27
Colima,179395.0,2021-05-27 21:51:24,729435,0.24593692378347626,2021-05-27
Durango,432283.0,2021-05-27 21:51:24,1829475,0.2362880061219749,2021-05-27
Estado de México,3320002.0,2021-05-27 21:51:24,16984191,0.19547601649086493,2021-05-27
Guanajuato,1269086.0,2021-05-27 21:51:24,6154885,0.20619166726916913,2021-05-27
Guerrero,713507.0,2021-05-27 21:51:24,3526268,0.20234054813757774,2021-05-27
Hidalgo,708538.0,2021-05-27 21:51:24,3079635,0.23007207022910184,2021-05-27
Jalisco,1506615.0,2021-05-27 21:51:24,8297100,0.18158332429403046,2021-05-27
Michoacán,959493.0,2021-05-27 21:51:24,4745316,0.20219791474371782,2021-05-27
Morelos,502708.0,2021-05-27 21:51:24,1970572,0.25510765402126895,2021-05-27
Nayarit,307872.0,2021-05-27 21:51:24,1234288,0.2494328714206085,2021-05-27
Nuevo León,1352316.0,2021-05-27 21:51:24,5766310,0.2345201697446027,2021-05-27
Oaxaca,801822.0,2021-05-27 21:51:24,4122760,0.1944867030824011,2021-05-27
Puebla,947155.0,2021-05-27 21:51:24,6577607,0.14399689735187887,2021-05-27
Querétaro,,2021-05-27 21:51:24,2361643,,2021-05-27
Quintana Roo,298003.0,2021-05-27 21:51:24,1836963,0.16222591309677986,2021-05-27
San Luis Potosí,721333.0,2021-05-27 21:51:24,2820313,0.2557634560419358,2021-05-27
Sinaloa,817191.0,2021-05-27 21:51:24,3024718,0.2701709713103833,2021-05-27
Sonora,605377.0,2021-05-27 21:51:24,2942115,0.20576252117949162,2021-05-27
Tabasco,507452.0,2021-05-27 21:51:24,2401722,0.21128673510089843,2021-05-27
Tamaulipas,837718.0,2021-05-27 21:51:24,3522081,0.2378474543884709,2021-05-27
Tlaxcala,279501.0,2021-05-27 21:51:24,1322052,0.21141452832415064,2021-05-27
Veracruz,1526411.0,2021-05-27 21:51:24,8059109,0.18940195498038306,2021-05-27
Yucatán,595988.0,2021-05-27 21:51:24,2317082,0.2572148935600898,2021-05-27
Zacatecas,408078.0,2021-05-27 21:51:24,1620280,0.251856469252228,2021-05-27
Aguascalientes,364949.0,2021-05-31 13:47:07,1424099,0.2562665938252888,2021-05-31
Baja California,725739.0,2021-05-31 13:47:07,3760801,0.19297458174468685,2021-05-31
Baja California Sur,186528.0,2021-05-31 13:47:07,794605,0.23474304843286917,2021-05-31
CDMX,4017462.0,2021-05-31 13:47:07,9200318,0.43666555873394813,2021-05-31
Campeche,245474.0,2021-05-31 13:47:07,924069,0.2656446650628903,2021-05-31
Chiapas,621090.0,2021-05-31 13:47:07,5515984,0.11259822363516646,2021-05-31
Chihuahua,865741.0,2021-05-31 13:47:07,3734230,0.23183922789972766,2021-05-31
Coahuila,810509.0,2021-05-31 13:47:07,3140612,0.2580735856578272,2021-05-31
Colima,191062.0,2021-05-31 13:47:07,729435,0.26193149492415363,2021-05-31
Durango,443980.0,2021-05-31 13:47:07,1829475,0.24268164364093525,2021-05-31
Estado de México,3443990.0,2021-05-31 13:47:07,16984191,0.20277621701263251,2021-05-31
Guanajuato,1307686.0,2021-05-31 13:47:07,6154885,0.2124631085714843,2021-05-31
Guerrero,723569.0,2021-05-31 13:47:07,3526268,0.2051939897931751,2021-05-31
Hidalgo,736433.0,2021-05-31 13:47:07,3079635,0.23912996182989218,2021-05-31
Jalisco,1523835.0,2021-05-31 13:47:07,8297100,0.18365874823733594,2021-05-31
Michoacán,974106.0,2021-05-31 13:47:07,4745316,0.20527737246581682,2021-05-31
Morelos,516179.0,2021-05-31 13:47:07,1970572,0.26194374019320277,2021-05-31
Nayarit,314225.0,2021-05-31 13:47:07,1234288,0.25457996837042896,2021-05-31
Nuevo León,1424449.0,2021-05-31 13:47:07,5766310,0.24702955616330027,2021-05-31
Oaxaca,822900.0,2021-05-31 13:47:07,4122760,0.19959929755794661,2021-05-31
Puebla,979686.0,2021-05-31 13:47:07,6577607,0.14894261697301162,2021-05-31
Querétaro,,2021-05-31 13:47:07,2361643,,2021-05-31
Quintana Roo,308862.0,2021-05-31 13:47:07,1836963,0.16813730053354367,2021-05-31
San Luis Potosí,727568.0,2021-05-31 13:47:07,2820313,0.2579742035724404,2021-05-31
Sinaloa,859471.0,2021-05-31 13:47:07,3024718,0.2841491339027308,2021-05-31
Sonora,632056.0,2021-05-31 13:47:07,2942115,0.21483048759140957,2021-05-31
Tabasco,514424.0,2021-05-31 13:47:07,2401722,0.21418965225783834,2021-05-31
Tamaulipas,868424.0,2021-05-31 13:47:07,3522081,0.2465655957372928,2021-05-31
Tlaxcala,291858.0,2021-05-31 13:47:07,1322052,0.22076136188289114,2021-05-31
Veracruz,1552291.0,2021-05-31 13:47:07,8059109,0.1926132280876211,2021-05-31
Yucatán,621093.0,2021-05-31 13:47:07,2317082,0.2680496417476809,2021-05-31
Zacatecas,413797.0,2021-05-31 13:47:07,1620280,0.25538610610511764,2021-05-31
Aguascalientes,370316.0,2021-06-01 12:17:12,1424099,0.2600352924901991,2021-06-01
Baja California,755854.0,2021-06-01 12:17:12,3760801,0.20098218438040194,2021-06-01
Baja California Sur,190839.0,2021-06-01 12:17:12,794605,0.24016838555005318,2021-06-01
CDMX,4328422.0,2021-06-01 12:17:12,9200318,0.47046439046998156,2021-06-01
Campeche,248909.0,2021-06-01 12:17:12,924069,0.2693619199432077,2021-06-01
Chiapas,624970.0,2021-06-01 12:17:12,5515984,0.11330163394237547,2021-06-01
Chihuahua,915129.0,2021-06-01 12:17:12,3734230,0.24506497992892778,2021-06-01
Coahuila,811261.0,2021-06-01 12:17:12,3140612,0.2583130294350273,2021-06-01
Colima,212445.0,2021-06-01 12:17:12,729435,0.2912459643422649,2021-06-01
Durango,499184.0,2021-06-01 12:17:12,1829475,0.2728564205578103,2021-06-01
Estado de México,3839337.0,2021-06-01 12:17:12,16984191,0.22605356946350874,2021-06-01
Guanajuato,1430028.0,2021-06-01 12:17:12,6154885,0.23234032804837135,2021-06-01
Guerrero,729573.0,2021-06-01 12:17:12,3526268,0.20689663973356534,2021-06-01
Hidalgo,777946.0,2021-06-01 12:17:12,3079635,0.25260980603220834,2021-06-01
Jalisco,1574093.0,2021-06-01 12:17:12,8297100,0.1897160453652481,2021-06-01
Michoacán,987827.0,2021-06-01 12:17:12,4745316,0.20816885535125584,2021-06-01
Morelos,538502.0,2021-06-01 12:17:12,1970572,0.27327192307614234,2021-06-01
Nayarit,323899.0,2021-06-01 12:17:12,1234288,0.2624176853376197,2021-06-01
Nuevo León,1665183.0,2021-06-01 12:17:12,5766310,0.28877791863427393,2021-06-01
